source,system_time,msg_time,x,y,theta,v,omega,ax
imu_raw,1775706385.1416624,1775118113.7702668,0.0,0.0,0.012606725767951492,0.0,-0.03355685380890614,-0.23463892330698566
mag_raw,1775706385.1417687,1775118113.7032669,0.0,0.0,0.027284157193365466,0.0,0.0,0.0
enc,1775706385.1420662,1775118113.7532668,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706385.1421473,1775118113.7412667,0.0,0.0,0.03729470153230599,0.0,0.0,0.0
enc,1775706385.142404,1775118113.8062668,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.1485057,1775118113.4852667,-2.912369462191125e-18,1.0861264133026938e-17,0.0009923227530790318,1.8193636515048882e-18,0.005759732792474866,0.0
mag_raw,1775706385.1531377,1775118113.8442667,0.0,0.0,0.02594557936759534,0.0,0.0,0.0
ekf_slam,1775706385.1594033,1775118113.4556792,-2.876989489969457e-12,-5.432773608966043e-13,0.013319055495452311,0.0,0.0,0.0
odom,1775706385.16975,1775118113.5072668,-3.6904984461934914e-18,9.697503354054351e-18,0.0010695812967660403,1.0591387294839215e-18,0.002921912174638526,0.0
enc,1775706385.1703684,1775118113.8622668,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706385.1913197,1775118113.8732667,0.0,0.0,0.006654117055159678,0.0,-0.05779235933756057,0.047885494552446055
odom,1775706385.1933234,1775118113.5232668,-4.814886970579626e-18,9.33410963229302e-18,0.0011741552195054811,-1.1075641876438113e-18,0.002315700863057799,0.0
mag_raw,1775706385.1934066,1775118113.8822668,0.0,0.0,0.02594557936759534,0.0,0.0,0.0
enc,1775706385.2002637,1775118113.8902667,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.2079093,1775118113.5352669,-4.542262417411678e-18,8.975556033845076e-18,0.0013557968701061185,-6.167741719724934e-19,0.0029780844826185183,0.0
odom,1775706385.228859,1775118113.5522668,-6.257136205205965e-18,9.277519311873284e-18,0.0015869786284570253,-2.06312209208159e-18,0.0046021271725872614,0.0
odom,1775706385.2486782,1775118113.5882668,-6.009444645721844e-18,9.782599213398689e-18,0.001879628884547735,5.92212026256226e-19,0.004498195708133341,0.0
odom,1775706385.3286645,1775118113.6262667,-4.869561508337807e-18,9.396248841542729e-18,0.0021281509471764437,-1.359843896849592e-18,0.0035429794966206456,0.0
odom,1775706385.3291261,1775118113.6442668,-4.791378139730817e-18,9.869333846432496e-18,0.0022521171265821316,9.850038998603742e-19,0.0026299007451798125,0.0
ekf_slam,1775706385.3292303,1775118113.6030955,-5.3348428948468425e-12,-4.003348668210903e-13,0.014409074357283114,0.0,0.0,0.0
odom,1775706385.3294868,1775118113.6552668,-3.713653414742917e-18,9.646160363596944e-18,0.002358426537712342,2.313008433084715e-18,0.00192843755215586,0.0
odom,1775706385.3297472,1775118113.6722667,-2.734039967137952e-18,9.016583147904953e-18,0.002618602637571854,1.3321249336523087e-18,0.0016455522337270032,0.0
odom,1775706385.348589,1775118113.7032669,-2.1812500627597836e-18,8.686889309780855e-18,0.002899765376669361,-9.621066107542154e-19,0.0015397302942786065,0.0
odom,1775706385.368806,1775118113.7252667,-2.553248913503646e-18,7.614663376778532e-18,0.003228436849576079,2.932498091194533e-18,0.0015019749689852598,0.0
odom,1775706385.3901489,1775118113.7412667,-3.677628173700629e-18,7.114285854287525e-18,0.003505474688037856,1.692067972630121e-18,0.0003697673266392916,0.0
ekf_slam,1775706385.3902667,1775118113.7380624,-6.706649671703221e-12,7.808667979023918e-13,0.015761762722071193,0.0,0.0,0.0
odom,1775706385.410677,1775118113.7532666,-4.913176017511749e-18,6.14047482463282e-18,0.00365744828802894,-2.4853997798832506e-18,-0.0016545254424790265,0.0
odom,1775706385.4284587,1775118113.7702668,-3.2861846987688314e-18,6.033414712639566e-18,0.003732270875530297,-1.4083225976832219e-18,-0.004643232912633563,0.0
odom,1775706385.449656,1775118113.8062668,-3.125336463586985e-18,5.317411858547171e-18,0.003629596369009391,-7.87049852327764e-19,-0.0069726600174128085,0.0
enc,1775706385.4647815,1775118113.9432669,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706385.4650068,1775118113.9502668,0.0,0.0,0.0038856715412729677,0.0,-0.03595377193811372,-0.3256213629566332
mag_raw,1775706385.4651184,1775118113.9212668,0.0,0.0,-0.010152997547957177,0.0,0.0,0.0
enc,1775706385.465719,1775118113.9712667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706385.465962,1775118113.9882667,0.0,0.0,0.0034707398177395714,0.0,-0.010919293699723427,-0.2873129673146763
mag_raw,1775706385.4660513,1775118113.9592667,0.0,0.0,0.03697965281068233,0.0,0.0,0.0
enc,1775706385.4663117,1775118114.0242667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706385.4663937,1775118114.0912669,0.0,0.0,0.00988969679020952,0.0,0.062319871359397115,-0.4261809015167699
mag_raw,1775706385.466457,1775118114.0622668,0.0,0.0,0.008116503994274105,0.0,0.0,0.0
enc,1775706385.4666498,1775118114.0802667,0.0,0.0,0.0,0.0,0.0,0.0
mag_raw,1775706385.4667106,1775118114.1002667,0.0,0.0,0.0048212568715216295,0.0,0.0,0.0
enc,1775706385.4668965,1775118114.1082668,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.468118,1775118113.8442667,-3.468535746590082e-18,5.021960549703391e-18,0.0034075200172907216,3.044940170008103e-18,-0.009076629473097585,0.0
enc,1775706385.4704654,1775118114.1612668,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706385.5747888,1775118114.1682668,0.0,0.0,0.013970577911884028,0.0,0.05299852307914541,-0.31125571459089935
enc,1775706385.5752592,1775118114.1892667,0.0,0.0,0.0,0.0,0.0,0.0
